historical_symbol,trade_date,roles,event_ids,interval_count,window_intervals_local,requested_regular_session_minutes,quote_extension_intervals_local,requested_quote_minutes,require_equity_trades,require_equity_quotes,require_option_trades_full_replication,require_option_quotes_full_replication,itch_requirement,shares_outstanding_required,research_use_only
VMW,2011-03-24,baseline,HEJFE-749FFC4028DF7B1C,1,14:26-15:26,61,14:26-15:31,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
EHTH,2011-03-25,baseline,HEJFE-E4D3EE1A6CB984DB,1,14:37-15:37,61,14:37-15:42,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
EW,2011-03-25,baseline,HEJFE-198DE6D99E934F32,1,13:59-14:59,61,13:59-15:04,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
JNPR,2011-03-25,baseline,HEJFE-D7FD00AF94DD8F41,1,15:20-16:00,41,15:20-16:00,41,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
VMW,2011-03-25,baseline,HEJFE-749FFC4028DF7B1C,1,14:26-15:26,61,14:26-15:31,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
CNMD,2011-03-28,baseline,HEJFE-A413A5AC6E515E3C,1,14:52-15:52,61,14:52-15:57,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
EHTH,2011-03-28,baseline,HEJFE-E4D3EE1A6CB984DB,1,14:37-15:37,61,14:37-15:42,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
EW,2011-03-28,baseline,HEJFE-198DE6D99E934F32,1,13:59-14:59,61,13:59-15:04,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
JNPR,2011-03-28,baseline,HEJFE-D7FD00AF94DD8F41,1,15:20-16:00,41,15:20-16:00,41,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
VMW,2011-03-28,baseline,HEJFE-749FFC4028DF7B1C,1,14:26-15:26,61,14:26-15:31,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
CNMD,2011-03-29,baseline,HEJFE-A413A5AC6E515E3C,1,14:52-15:52,61,14:52-15:57,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
EHTH,2011-03-29,baseline,HEJFE-E4D3EE1A6CB984DB,1,14:37-15:37,61,14:37-15:42,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
EW,2011-03-29,baseline,HEJFE-198DE6D99E934F32,1,13:59-14:59,61,13:59-15:04,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
JNPR,2011-03-29,baseline,HEJFE-D7FD00AF94DD8F41,1,15:20-16:00,41,15:20-16:00,41,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
VMW,2011-03-29,baseline,HEJFE-749FFC4028DF7B1C,1,14:26-15:26,61,14:26-15:31,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
CNMD,2011-03-30,baseline,HEJFE-A413A5AC6E515E3C,1,14:52-15:52,61,14:52-15:57,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
EHTH,2011-03-30,baseline,HEJFE-E4D3EE1A6CB984DB,1,14:37-15:37,61,14:37-15:42,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
EW,2011-03-30,baseline,HEJFE-198DE6D99E934F32,1,13:59-14:59,61,13:59-15:04,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
JNPR,2011-03-30,baseline,HEJFE-D7FD00AF94DD8F41,1,15:20-16:00,41,15:20-16:00,41,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
VMW,2011-03-30,baseline,HEJFE-749FFC4028DF7B1C,1,14:26-15:26,61,14:26-15:31,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
CNMD,2011-03-31,baseline,HEJFE-A413A5AC6E515E3C,1,14:52-15:52,61,14:52-15:57,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
EHTH,2011-03-31,baseline,HEJFE-E4D3EE1A6CB984DB,1,14:37-15:37,61,14:37-15:42,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
EW,2011-03-31,baseline,HEJFE-198DE6D99E934F32,1,13:59-14:59,61,13:59-15:04,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
JNPR,2011-03-31,baseline,HEJFE-D7FD00AF94DD8F41,1,15:20-16:00,41,15:20-16:00,41,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
