event_id,historical_symbol,trade_date,primary_exchange,resolution_status,source_id,source_family,source_reference,itch_requirement,research_use_only
HEJFE-334BAA0D940A418A,TER,2015-01-28,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-D1D8268651584B6A,MKC,2013-04-01,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-0273F1BFCD285E7F,THC,2015-02-23,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-6C4EA140AD75FFE2,THC,2015-05-04,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-830D52F9F7F1CEEB,MSCC,2012-01-26,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-EDF80619CED083CB,CAG,2015-03-25,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-0BAF70D8CC8F1631,NKE,2015-03-19,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-332D5C6DC3ACE6B1,NDSN,2015-05-19,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-7ED8DBD4804E4330,JWN,2015-02-19,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-76DCF0FCA248E814,CB,2012-01-26,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-D9C52E6CC595C380,ADI,2015-02-17,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-09EB83905864C50A,ADI,2015-05-19,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-B46D4F8F72DD0212,AMD,2013-10-17,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-2FD552B9358078C6,BIO,2013-05-07,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-C85CE64DFF947CFD,RES,2012-01-24,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-7B8A1A0CD3E2966F,APC,2013-05-06,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-824BABBAD988A068,SYMM,2012-01-25,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-EC5EB2BE0D97833F,STT,2015-01-22,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-D51AC412EDF93AA8,INT,2015-04-30,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-9B43F5B767ECD0FA,MTH,2013-04-23,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-2D6ABDFDE39E5919,MTH,2013-07-23,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-FBA59D82CEE8FD00,CGNX,2015-02-12,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-8EAA8616B1750B40,CGNX,2015-05-04,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-0B87675BF7BEDBCA,EA,2015-01-27,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-B7EFA7CF95262283,LSCC,2013-04-18,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-CCC7747CFBDE893E,PNRA,2013-04-23,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-600696AB8463FFD8,PNRA,2013-07-23,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-8167467EBF64AABE,PNRA,2013-10-22,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-4E643D38FFB3016E,PNRA,2015-02-11,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-99CCB9D9BECE4E72,IDXX,2012-01-26,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-13FC93F4D143B268,HAE,2012-01-27,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-DA7595FDF91D8CBC,WRLD,2012-01-24,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-C4D39B22234902F2,GILD,2015-02-03,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-8415E931D4314106,KOPN,2015-03-10,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-A9DB7C5F6FD1D978,SBUX,2015-01-22,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-760E36DA94752F1E,CAKE,2015-04-22,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-5B6F87699FF5093E,SM,2015-05-05,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-81F188C0D790FE70,CREE,2015-01-20,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-D35C7804C2F5326C,CREE,2015-04-21,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-AA2597B95CFD2A2D,LSTR,2011-10-21,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-8596DDD6A535BD90,DEST,2012-01-25,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-D6BA56FA6D57427E,SCVL,2015-05-20,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-8F17F6BEDF631C8B,MCRI,2013-04-25,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-5CB3223BB28A6F14,BWA,2011-07-27,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-7482DE1CD44C1A00,GMCR,2015-02-04,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-56483839E5F0E88F,NVR,2012-01-25,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-89844B5980EB5339,AF,2012-01-25,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-8536AD777ECEEACB,GDI,2013-04-25,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-489E74F74AFB5AFA,MCRL,2013-04-25,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-D4E8CD312A2AA576,ISSI,2012-01-25,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-F9E72EEF6E5BD373,NATI,2015-01-29,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-7F8218B15679F14D,NATI,2015-04-28,,unresolved,,,,conditional_pending_exchange_resolution,1
