historical_symbol,trade_date,shares_outstanding,resolution_status,source_id,source_family,source_reference,fact_date,available_at,staleness_days,research_use_only
BWA,2011-06-29,,unresolved,,,,,,,1
CA,2011-06-29,,unresolved,,,,,,,1
GT,2011-06-29,,unresolved,,,,,,,1
TPX,2011-06-29,,unresolved,,,,,,,1
BWA,2011-06-30,,unresolved,,,,,,,1
CA,2011-06-30,,unresolved,,,,,,,1
GT,2011-06-30,,unresolved,,,,,,,1
TPX,2011-06-30,,unresolved,,,,,,,1
BWA,2011-07-01,,unresolved,,,,,,,1
CA,2011-07-01,,unresolved,,,,,,,1
GT,2011-07-01,,unresolved,,,,,,,1
TPX,2011-07-01,,unresolved,,,,,,,1
BWA,2011-07-05,,unresolved,,,,,,,1
CA,2011-07-05,,unresolved,,,,,,,1
DNDN,2011-07-05,,unresolved,,,,,,,1
GT,2011-07-05,,unresolved,,,,,,,1
TPX,2011-07-05,,unresolved,,,,,,,1
BWA,2011-07-06,,unresolved,,,,,,,1
CA,2011-07-06,,unresolved,,,,,,,1
DNDN,2011-07-06,,unresolved,,,,,,,1
GT,2011-07-06,,unresolved,,,,,,,1
TPX,2011-07-06,,unresolved,,,,,,,1
BWA,2011-07-07,,unresolved,,,,,,,1
CA,2011-07-07,,unresolved,,,,,,,1
DNDN,2011-07-07,,unresolved,,,,,,,1
GT,2011-07-07,,unresolved,,,,,,,1
TPX,2011-07-07,,unresolved,,,,,,,1
BWA,2011-07-08,,unresolved,,,,,,,1
CA,2011-07-08,,unresolved,,,,,,,1
DNDN,2011-07-08,,unresolved,,,,,,,1
GT,2011-07-08,,unresolved,,,,,,,1
TPX,2011-07-08,,unresolved,,,,,,,1
BWA,2011-07-11,,unresolved,,,,,,,1
CA,2011-07-11,,unresolved,,,,,,,1
DNDN,2011-07-11,,unresolved,,,,,,,1
GT,2011-07-11,,unresolved,,,,,,,1
TPX,2011-07-11,,unresolved,,,,,,,1
BWA,2011-07-12,,unresolved,,,,,,,1
CA,2011-07-12,,unresolved,,,,,,,1
DNDN,2011-07-12,,unresolved,,,,,,,1
GT,2011-07-12,,unresolved,,,,,,,1
TPX,2011-07-12,,unresolved,,,,,,,1
BWA,2011-07-13,,unresolved,,,,,,,1
CA,2011-07-13,,unresolved,,,,,,,1
DNDN,2011-07-13,,unresolved,,,,,,,1
GT,2011-07-13,,unresolved,,,,,,,1
TPX,2011-07-13,,unresolved,,,,,,,1
BWA,2011-07-14,,unresolved,,,,,,,1
CA,2011-07-14,,unresolved,,,,,,,1
DNDN,2011-07-14,,unresolved,,,,,,,1
GT,2011-07-14,,unresolved,,,,,,,1
TPX,2011-07-14,,unresolved,,,,,,,1
BWA,2011-07-15,,unresolved,,,,,,,1
CA,2011-07-15,,unresolved,,,,,,,1
DNDN,2011-07-15,,unresolved,,,,,,,1
GT,2011-07-15,,unresolved,,,,,,,1
TPX,2011-07-15,,unresolved,,,,,,,1
BWA,2011-07-18,,unresolved,,,,,,,1
CA,2011-07-18,,unresolved,,,,,,,1
DNDN,2011-07-18,,unresolved,,,,,,,1
GT,2011-07-18,,unresolved,,,,,,,1
TPX,2011-07-18,,unresolved,,,,,,,1
BWA,2011-07-19,,unresolved,,,,,,,1
CA,2011-07-19,,unresolved,,,,,,,1
DNDN,2011-07-19,,unresolved,,,,,,,1
GT,2011-07-19,,unresolved,,,,,,,1
TPX,2011-07-19,,unresolved,,,,,,,1
BWA,2011-07-20,,unresolved,,,,,,,1
CA,2011-07-20,,unresolved,,,,,,,1
DNDN,2011-07-20,,unresolved,,,,,,,1
FL,2011-07-20,,unresolved,,,,,,,1
GT,2011-07-20,,unresolved,,,,,,,1
TPX,2011-07-20,,unresolved,,,,,,,1
BWA,2011-07-21,,unresolved,,,,,,,1
DNDN,2011-07-21,,unresolved,,,,,,,1
FL,2011-07-21,,unresolved,,,,,,,1
GT,2011-07-21,,unresolved,,,,,,,1
TPX,2011-07-21,,unresolved,,,,,,,1
BWA,2011-07-22,,unresolved,,,,,,,1
DNDN,2011-07-22,,unresolved,,,,,,,1
FL,2011-07-22,,unresolved,,,,,,,1
GT,2011-07-22,,unresolved,,,,,,,1
TPX,2011-07-22,,unresolved,,,,,,,1
BWA,2011-07-25,,unresolved,,,,,,,1
DNDN,2011-07-25,,unresolved,,,,,,,1
FL,2011-07-25,,unresolved,,,,,,,1
GT,2011-07-25,,unresolved,,,,,,,1
TPX,2011-07-25,,unresolved,,,,,,,1
BWA,2011-07-26,,unresolved,,,,,,,1
DNDN,2011-07-26,,unresolved,,,,,,,1
FL,2011-07-26,,unresolved,,,,,,,1
GT,2011-07-26,,unresolved,,,,,,,1
TPX,2011-07-26,,unresolved,,,,,,,1
BWA,2011-07-27,,unresolved,,,,,,,1
DNDN,2011-07-27,,unresolved,,,,,,,1
FL,2011-07-27,,unresolved,,,,,,,1
GT,2011-07-27,,unresolved,,,,,,,1
DNDN,2011-07-28,,unresolved,,,,,,,1
FL,2011-07-28,,unresolved,,,,,,,1
DNDN,2011-07-29,,unresolved,,,,,,,1
FL,2011-07-29,,unresolved,,,,,,,1
DNDN,2011-08-01,,unresolved,,,,,,,1
FL,2011-08-01,,unresolved,,,,,,,1
DNDN,2011-08-02,,unresolved,,,,,,,1
FL,2011-08-02,,unresolved,,,,,,,1
